State,2013,2014,2015,2016,2017,2018,2019
Puerto Rico,3615086,3548397(-1.84%),3474182(-2.09%),3411307(-1.81%),3337177(-2.17%),3195153(-4.26%),3193694(-0.05%),2;7;157;1453;
Wyoming,582658,584153(0.26%),586107(0.33%),585501(-0.10%),579315(-1.06%),577737(-0.27%),578759(0.18%),19;83;367;
Wisconsin,5742713,5757564(0.26%),5771337(0.24%),5778709(0.13%),5795483(0.29%),5813568(0.31%),5822434(0.15%),2;67;43451;
West Virginia,1854304,1850326(-0.21%),1844128(-0.33%),1831102(-0.71%),1815857(-0.83%),1805832(-0.55%),1792147(-0.76%),7;256021;
Washington,6971406,7061530(1.29%),7170351(1.54%),7288000(1.64%),7405743(1.62%),7535591(1.75%),7614893(1.05%),11;11;13;47;103;
Virginia,8260405,8326289(0.80%),8382993(0.68%),8411808(0.34%),8470020(0.69%),8517685(0.56%),8535519(0.21%),3;3;948391;
Vermont,626630,626562(-0.01%),626042(-0.08%),624594(-0.23%),623657(-0.15%),626299(0.42%),623989(-0.37%),623989;
Utah,2900872,2942902(1.45%),2995919(1.80%),3051217(1.85%),3101833(1.66%),3161105(1.91%),3205958(1.42%),2;7;31;83;89;
Texas,26448193,26956958(1.92%),27469114(1.90%),27862596(1.43%),28304596(1.59%),28701845(1.40%),28995881(1.02%),19;19;31;2591;
Tennessee,6495978,6549352(0.82%),6600299(0.78%),6651194(0.77%),6715984(0.97%),6770010(0.80%),6829174(0.87%),2;11;43;7219;
South Dakota,844877,853175(0.98%),858469(0.62%),865454(0.81%),869666(0.49%),882235(1.45%),884659(0.27%),19;101;461;
South Carolina,4774839,4832482(1.21%),4896146(1.32%),4961119(1.33%),5024369(1.27%),5084127(1.19%),5148714(1.27%),2;3;317;2707;
Rhode Island,1051511,1055173(0.35%),1056298(0.11%),1056426(0.01%),1059639(0.30%),1057315(-0.22%),1059361(0.19%),971;1091;
Pennsylvania,12773801,12787209(0.10%),12802503(0.12%),12784227(-0.14%),12805537(0.17%),12807060(0.01%),12801989(-0.04%),12801989;
Oregon,3930065,3970239(1.02%),4028977(1.48%),4093465(1.60%),4142776(1.20%),4190713(1.16%),4217737(0.64%),4217737;
Oklahoma,3850568,3878051(0.71%),3911338(0.86%),3923561(0.31%),3930864(0.19%),3943079(0.31%),3956971(0.35%),17;137;1699;
Ohio,11570808,11594163(0.20%),11613423(0.17%),11614373(0.01%),11658609(0.38%),11689442(0.26%),11689100(-0.00%),2;2;5;5;41;2851;
North Dakota,723393,739482(2.22%),756928(2.36%),757953(0.14%),755393(-0.34%),760077(0.62%),762062(0.26%),2;7;29;1877;
North Carolina,9848060,9943964(0.97%),10042802(0.99%),10146788(1.04%),10273419(1.25%),10383620(1.07%),10488084(1.01%),2;2;3;677;1291;
New York,19651127,19746227(0.48%),19795791(0.25%),19745289(-0.26%),19849399(0.53%),19542209(-1.55%),19453561(-0.45%),23;163;5189;
New Mexico,2085287,2085572(0.01%),2085109(-0.02%),2081015(-0.20%),2088070(0.34%),2095428(0.35%),2096829(0.07%),3;3;7;83;401;
New Jersey,8899339,8938175(0.44%),8958013(0.22%),8944469(-0.15%),9005644(0.68%),8908520(-1.08%),8882190(-0.30%),2;3;3;3;5;67;491;
New Hampshire,1323459,1326813(0.25%),1330608(0.29%),1334795(0.31%),1342795(0.60%),1356458(1.02%),1359711(0.24%),3;3;17;8887;
Nevada,2790136,2839099(1.75%),2890845(1.82%),2940058(1.70%),2998039(1.97%),3034392(1.21%),3080156(1.51%),2;2;770039;
Nebraska,1868516,1881503(0.70%),1896190(0.78%),1907116(0.58%),1920076(0.68%),1929268(0.48%),1934408(0.27%),2;2;2;7;34543;
Montana,1015165,1023579(0.83%),1032949(0.92%),1042520(0.93%),1050493(0.76%),1062305(1.12%),1068778(0.61%),2;151;3539;
Missouri,6044171,6063589(0.32%),6083672(0.33%),6093000(0.15%),6113532(0.34%),6126452(0.21%),6137428(0.18%),2;2;11;139487;
Mississippi,2991207,2994079(0.10%),2992333(-0.06%),2988726(-0.12%),2984100(-0.15%),2986530(0.08%),2976149(-0.35%),11;41;6599;
Minnesota,5420380,5457173(0.68%),5489594(0.59%),5519952(0.55%),5576606(1.03%),5611179(0.62%),5639632(0.51%),2;2;2;2;41;8597;
Michigan,9895622,9909877(0.14%),9922576(0.13%),9928300(0.06%),9962311(0.34%),9995915(0.34%),9986857(-0.09%),9986857;
Massachusetts,6692824,6745408(0.79%),6794422(0.73%),6811779(0.26%),6859819(0.71%),6902149(0.62%),6892503(-0.14%),3;47;48883;
Maryland,5928814,5976407(0.80%),6006401(0.50%),6016447(0.17%),6052177(0.59%),6042718(-0.16%),6045680(0.05%),2;2;2;2;5;75571;
Maine,1328302,1330089(0.13%),1329328(-0.06%),1331479(0.16%),1335907(0.33%),1338404(0.19%),1344212(0.43%),2;2;19;23;769;
Louisiana,4625470,4649676(0.52%),4670724(0.45%),4681666(0.23%),4684333(0.06%),4659978(-0.52%),4648794(-0.24%),2;3;774799;
Kentucky,4395295,4413457(0.41%),4425092(0.26%),4436974(0.27%),4454189(0.39%),4468402(0.32%),4467673(-0.02%),7;7;73;1249;
Kansas,2893957,2904021(0.35%),2911641(0.26%),2907289(-0.15%),2913123(0.20%),2911510(-0.06%),2913314(0.06%),2;1456657;
Iowa,3090416,3107126(0.54%),3123899(0.54%),3134693(0.35%),3145711(0.35%),3156145(0.33%),3155070(-0.03%),2;3;5;251;419;
Indiana,6570902,6596855(0.39%),6619680(0.35%),6633053(0.20%),6666818(0.51%),6691878(0.38%),6732219(0.60%),3;13;53;3257;
Illinois,12882135,12880580(-0.01%),12859995(-0.16%),12801539(-0.45%),12802023(0.00%),12741080(-0.48%),12671821(-0.54%),227;55823;
Idaho,1612136,1634464(1.38%),1654930(1.25%),1683140(1.70%),1716943(2.01%),1754208(2.17%),1787065(1.87%),5;7;51059;
Hawaii,1404054,1419561(1.10%),1431603(0.85%),1428557(-0.21%),1427538(-0.07%),1420491(-0.49%),1415872(-0.33%),2;2;2;2;2;2;22123;
Georgia,9992167,10097343(1.05%),10214860(1.16%),10310371(0.94%),10429379(1.15%),10519475(0.86%),10617423(0.93%),3;67;101;523;
Florida,19552860,19893297(1.74%),20271272(1.90%),20612439(1.68%),20984400(1.80%),21299325(1.50%),21477737(0.84%),709;30293;
District of Columbia,646449,658893(1.92%),672228(2.02%),681170(1.33%),693972(1.88%),702455(1.22%),705749(0.47%),11;83;773;
Delaware,925749,935614(1.07%),945934(1.10%),952065(0.65%),961939(1.04%),967171(0.54%),973764(0.68%),2;2;3;3;11;2459;
Connecticut,3596080,3596677(0.02%),3590886(-0.16%),3576452(-0.40%),3588184(0.33%),3572665(-0.43%),3565287(-0.21%),3;3;11;36013;
Colorado,5268367,5355866(1.66%),5456574(1.88%),5540545(1.54%),5607154(1.20%),5695564(1.58%),5758736(1.11%),2;2;2;2;419;859;
California,38332521,38802500(1.23%),39144818(0.88%),39250017(0.27%),39536653(0.73%),39557045(0.05%),39512223(-0.11%),3;3;4390247;
Arkansas,2959373,2966369(0.24%),2978204(0.40%),2988248(0.34%),3004279(0.54%),3013825(0.32%),3017804(0.13%),2;2;754451;
Arizona,6626624,6731484(1.58%),6828065(1.43%),6931071(1.51%),7016270(1.23%),7171646(2.21%),7278717(1.49%),3;1019;2381;
Alaska,735132,736732(0.22%),738432(0.23%),741894(0.47%),739795(-0.28%),737438(-0.32%),731545(-0.80%),5;146309;
Alabama,4833722,4849377(0.32%),4858979(0.20%),4863300(0.09%),4874747(0.24%),4887871(0.27%),4903185(0.31%),3;5;7;7;7;953;
